month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2025-10,政府信息系统运维岗,电子信息工程,通信与电子技术,230,5,0.021739,585,21,0.035897,当月活跃技能,0,16,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,系统运维,网络与基础设施,230,229,0.995652,585,581,0.993162,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,统计学,数据与统计,230,0,0.0,585,1,0.001709,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,网络工程,网络与基础设施,230,88,0.382609,585,192,0.328205,稳定核心技能,1,6,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,网络空间安全,网络与安全,230,48,0.208696,585,142,0.242735,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,网络运维,网络与基础设施,230,1,0.004348,585,1,0.001709,当月活跃技能,0,20,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,自动化,智能化技术,230,3,0.013043,585,16,0.02735,当月活跃技能,0,17,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,计算机科学与技术,计算机基础,230,227,0.986957,585,562,0.960684,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,软件工程,软件工程,230,136,0.591304,585,327,0.558974,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,通信工程,通信与电子技术,230,47,0.204348,585,84,0.14359,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2023-10,政府地理信息与空间数据技术岗,信息系统,政务信息化,5,5,1.0,5,5,1.0,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2023-10,政府地理信息与空间数据技术岗,地理信息系统,空间信息技术,5,5,1.0,5,5,1.0,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2023-10,政府地理信息与空间数据技术岗,统计学,数据与统计,5,1,0.2,5,1,0.2,当月活跃技能,0,4,2026-08-06T03:30:35+00:00
2023-10,政府地理信息与空间数据技术岗,计算机科学与技术,计算机基础,5,1,0.2,5,1,0.2,当月活跃技能,0,5,2026-08-06T03:30:35+00:00
2023-10,政府地理信息与空间数据技术岗,遥感技术,空间信息技术,5,4,0.8,5,4,0.8,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2023-10,政府数字监管与科技执法岗,人工智能,智能化技术,34,8,0.235294,34,8,0.235294,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2023-10,政府数字监管与科技执法岗,信息安全,网络与安全,34,10,0.294118,34,10,0.294118,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2023-10,政府数字监管与科技执法岗,信息管理与信息系统,政务信息化,34,4,0.117647,34,4,0.117647,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2023-10,政府数字监管与科技执法岗,信息系统,政务信息化,34,4,0.117647,34,4,0.117647,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2023-10,政府数字监管与科技执法岗,大数据管理与应用,政务信息化,34,5,0.147059,34,5,0.147059,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
